Index,Topic1,Topic2,Count
2616462,Tom Clancy's Rainbow Six: Siege,Virtual reality,451
2696401,America's Got Talent,Donald Trump,310
2703610,Glenn Beck,Refugee,336
2710334,Bill Clinton,Federal Bureau of Investigation,369
2718064,Colt's Manufacturing Company,Revolver,313
2736907,Bundy standoff,Electoral fraud,256
2752683,North Atlantic Treaty Organization (NATO),South China Sea,413
2764079,South China Sea,Unmanned aerial vehicle,314
2764206,Dark Souls III,Fallout,558
2778966,Recep Tayyip Erdoğan,Syrian civil war,299
2784925,.22 Long Rifle,Bulletproofing,274
2786124,Dark Souls III,Quantum Break,261
2794781,Oregon,Russia,573
2861579,Fallout,Star Wars: Battlefront,483
2872928,Palmyra,Syria,306
2897930,Aircraft,Assault rifle,259
2921540,Grand Theft Auto,Hitman,366
2933844,Puppy,The Division,298
2935218,Bernie Sanders,Suicide Squad,264
2944976,Grand Theft Auto V,Vitaly Zdorovetskiy,286
2953385,United States Navy,iPhone,312
2958688,Knife,Physical exercise,262
2975559,Draft:Independence Day 2,Military,301
2987141,Atheism,Barack Obama,467
3021471,North Korea,Vladimir Putin,842
3029469,.22 Long Rifle,Military,307
3032021,Islamic State of Iraq and the Levant,Robot,616
3053675,Bulletproof glass,Gun,253
3068684,Islam,Turkey,349
3179197,Drill instructor,Vine,252
3207627,Saudi Arabia,Unmanned aerial vehicle,416
3209082,2012 Benghazi attack,Martial law,386
3241784,Extraterrestrial life,The Division,301
3246565,Black Lives Matter,Cat,276
3271779,Earthquake,Yellowstone National Park,535
3278942,Bill Clinton,Terrorism,381
3286446,False flag,New World Order,641
3287053,Donald Trump,Quantum Break,297
3356029,Flood,New World Order,338
3388123,Cannabis,Terrorism,263
3402139,Federal Bureau of Investigation,Transgender,368
3406525,Donald Trump,Truck,478
3412773,Islamic State of Iraq and the Levant,"United States presidential election, 2016",474
3433377,Call of Duty: Black Ops II,US Marines,258
3440748,Grand Theft Auto,Suicide Squad,354
3479377,Xbox One,iPhone,298
3480039,Barack Obama,Climate engineering,250
3481554,AK-47,Donald Trump,647
3486453,False flag,Police officer,387
3488199,Batman,Trailer,653
3501657,Rothschild family,Vladimir Putin,360
3546153,Car,Magic,292
3549296,Doom,Gameplay,572
3591569,Bernie Sanders,Sniper,367
3592808,False flag,Flat Earth,354
3599801,Federal Bureau of Investigation,Rape,364
3602632,Dog,Ted Cruz,527
3612483,Future,Video blog,369
3631761,Moon,Planets beyond Neptune,442
3655470,Bodybuilding,US Marines,450
3668279,Barack Obama,Universe,297
3671985,North Korea,Rifle,359
3681027,Suicide Squad,Video game,478
3707655,Judge,Ted Cruz,301
3717352,Bilderberg Group,Republican Party,277
3719344,Islamic State of Iraq and the Levant,PewDiePie,298
3723000,Film,Knife,402
3775306,Shotgun,StG 44,338
3777288,GoPro,Military,294
3778758,"Meal, Combat, Individual ration",Rationing,360
3840794,Barack Obama,Militia,711
3873135,Donald Trump,Police,1460
3888332,Gun,Remington Arms,262
3896711,Military,Paratrooper,276
3905442,Barack Obama,Homelessness,334
3906680,Hillary Clinton email system,North Atlantic Treaty Organization (NATO),255
3916109,Donald Trump,Infant,515
3920622,Federal Bureau of Investigation,Turkey,285
3963195,North Korea,Rothschild family,292
3964077,Star Wars Episode VII,United States Navy SEALs,316
3967185,Bundy standoff,False flag,379
4031460,Anime,Minecraft,375
4040117,Fairchild Republic A-10 Thunderbolt II,Fighter aircraft,283
4046517,Earthquake,Stefan Molyneux,277
4048913,Bernie Sanders,Mark Dice,326
4054474,PewDiePie,Star Wars,557
4075306,Conan O'Brien,Hillary Rodham Clinton,379
4075925,Pornography,Virtual reality,263
4104158,Flint,Venezuela,269
4106370,Assault rifle,FN SCAR,263
4130068,Games,Shotgun,292
4146942,Assault rifle,Short-barreled rifle,279
4150154,Angela Merkel,Rape,282
4184765,Drill instructor,Gun,428
4189262,Alex Jones,Sinkhole,255
4225446,Extraterrestrial life,Shooting,491
4229482,New World Order,Unmanned aerial vehicle,437
4229626,Grand Theft Auto V,Magic,266
4238253,Electoral fraud,Orlando,355
4239301,Mod,Shotgun,267
4247982,Bushcraft,Shooting,284
4252818,Angela Merkel,Bernie Sanders,405
4260567,Oregon,The Young Turks,486
4298640,Combat,Donald Trump,539
4327798,Marines,United States Marine Corps Recruit Training,335
4361407,GLOCK 17,Shooting sport,252
4368310,Finding Dory,Star Wars,285
4391833,Asteroid,Prince,252
4399334,2015 Libya migrant shipwreck,Extraterrestrial life,337
4407936,Gun,Rapping,316
4440839,Racism,Sexual intercourse,335
4449742,Rifle,Steven Crowder,327
4449857,Proposed referendum on United Kingdom membership of the European Union,Tsunami,317
4451375,Sniper,Star Wars: Battlefront,255
4462488,Ted Cruz,Video blog,358
4521453,Fallout,Games,669
4528825,Gun,Personal computer,295
4543964,Dark Souls III,Resident Evil,273
4557619,Grand Theft Auto,The Forest,270
4560146,Cannabis,North Korea,420
4563296,Boeing B-52 Stratofortress,Firearm,258
4578364,Captain America: Civil War,Gameplay,300
4611554,Animal,Robot,261
4629603,False flag,Marco Rubio,257
4653488,Barack Obama,Military aircraft,364
4679099,Economy,Hillary Rodham Clinton,575
4693324,Lockheed Martin F-35 Lightning II,Missile,259
4701725,Dark Souls III,Gun,386
4716738,Alex Jones,Iowa Caucus,294
4757277,Israel,Zika virus,384
4782722,Number of the beast,Planet,251
4813947,Snowboarding,Video blog,282
4829798,Firearm,Hacker,322
4840401,Gun control,Survivalism,445
4899098,Gameplay,Rifle,298
4978758,Alex Jones,Reptilians,356
5028205,Electronic cigarette,Video blog,262
5031092,BuzzFeed,Food,290
5081315,Atheism,Proposed referendum on United Kingdom membership of the European Union,392
5081914,Oregon,RT,454
5083105,Firearm,Pope Francis,404
5094005,Russia,Venezuela,438
5099349,Barack Obama,Pistol,335
5124644,Car,Oculus Rift,267
5125416,Central Intelligence Agency (CIA),Martial law,264
5126391,Bernie Sanders,Neil deGrasse Tyson,273
5127239,Islamophobia,Ted Cruz,263
5128256,Bug-out bag,Knife,295
5128717,Aircraft,Special forces,386
5139757,Call of Duty: Black Ops III,PlayStation 4,582
5144630,Muhammad Ali,Ted Cruz,324
5159237,Soldier,Veteran,682
5167972,Bernie Sanders,Planet,412
5168994,Extraterrestrial life,RT,317
5211079,Earth,EgyptAir,276
5239627,Justin Bieber,Video blog,480
5240929,Bodybuilding,Motorcycle,267
5248287,End time,Temple of Bel,334
5272749,Baal,Nibiru cataclysm,267
5274057,Barack Obama,Grand Theft Auto,450
5283713,Conspiracy theory,Vladimir Putin,292
5285319,Military,Stolen Valor: How the Vietnam Generation Was Robbed of its Heroes and its History,400
5311310,Donald Trump,VanossGaming,281
5320218,Car,Music,352
5349912,Battlefield 4,Hitman 6,284
5351503,Earth,United Kingdom,260
5352291,Transgender,Venezuela,303
5394601,Flat Earth,Prince,327
5418171,Darth Vader,The Division,274
5419793,Grand Theft Auto V,Tom Clancy's Rainbow Six: Siege,757
5463697,Conspiracy theory,Zika virus,346
5496147,Black,Police officer,421
5498096,Fighter aircraft,United States Army,307
5508996,European Union,Federal Bureau of Investigation,309
5520916,Grand Theft Auto,io,488
5525065,Alex Jones,Electronic Benefit Transfer,260
5571374,Abortion,Ted Cruz,392
5574094,John Kasich,Oregon,279
5580933,New World Order,Rapture,264
5588600,2012 Benghazi attack,Bilderberg Group,331
5590259,Pistol,Walther arms,357
5596217,Counter-Strike,Fallout: 4,372
5625835,National Rifle Association,Unmanned aerial vehicle,259
5636803,Car,io,259
5662159,Smith & Wesson,Weapon,365
5683417,Batman,Ted Cruz,312
5701398,Economic collapse,September 11 attacks,633
5726544,Illuminati,Islamic State of Iraq and the Levant,784
5757608,"Meal, Ready-to-Eat",Military,343
5778566,Islam,September 11 attacks,682
5785603,Donald Trump,Sean Hannity,276
5806325,Gun,Michelle Obama,330
5831364,Late Show with Stephen Colbert,Proposed referendum on United Kingdom membership of the European Union,292
5839235,Special forces,War,273
5885564,Barack Obama,Nephilim,358
5892570,Fallout,Feminism,423
5913481,Counter-Strike: Global Offensive,Puppy,276
5916141,Bernie Sanders,Michelle Obama,455
5928027,Firearm,Taliban,339
5979739,Pistol,Video game,362
6018677,Games,Mario,456
6054546,Hillary Clinton email system,Transgender,285
6127849,Bodybuilding,Gym,338
6129132,Special Forces,United States Army,331
6138147,Stock market,Zika virus,262
6145449,Magpul Industries,Rifle,313
6147261,Everyday carry,Shotgun,328
6157760,Star Wars,The Walking Dead,335
6175074,Doom,Islamic State of Iraq and the Levant,387
6210452,Islamic State of Iraq and the Levant,Sexual intercourse,446
6230197,SHOT Show,Short-barreled rifle,263
6232709,Battlefield,Fallout: 4,920
6255848,Film,Gay,319
6258547,George Soros,Russia,383
6304615,Anonymous,CERN,277
6330922,Illuminati,Orlando,693
6350966,Just Cause 3,Video blog,281
6376644,Aircraft,Dog,413
6383078,Gun,Last Week Tonight with John Oliver,340
6385443,Captain America: Civil War,PlayStation 4,344
6459646,Call of Duty: Black Ops III,Conan O'Brien,277
6470956,Gorilla,Zika virus,275
6473662,US Marines,World War II,361
6487058,Star Wars,Unmanned aerial vehicle,480
6509103,Orlando,Protest,651
6518399,Star Wars Episode VII,X-Men: Apocalypse,326
6528558,Black,Grand Theft Auto V,274
6543027,Police,Special forces,352
6546741,Car,Homelessness,263
6571776,Antonin Scalia,North Korea,493
6583942,Aircraft,Boeing B-52 Stratofortress,306
6584775,HTC Vive,JackSepticEye,305
6591346,ARMA,Overwatch,351
6600748,Animal,Cooking,304
6607820,ARMA 3,Star Wars: Battlefront,268
6618400,The Young Turks,iPhone,261
6618602,Hillary Rodham Clinton,The Bible,480
6640455,ARMA 3,Garry's Mod,340
6644793,Electronic Entertainment Expo,Star Wars: Battlefront,376
6653742,Islam,The Bible,294
6689904,Fallout: 4,Rooster Teeth,255
6690577,Police,Super Bowl 50,286
6714321,Firearm,United States Air Force,493
6737469,Ark: Survival Evolved,Star Wars,356
6912686,President of the United States,Ted Cruz,485
6913113,Barack Obama,Special forces,380
6956952,Feminism,Game of Thrones,276
6969805,Earthquake,Economic collapse,680
6971927,Army,Fallout: 4,392
7000526,Electronic Entertainment Expo,Star Wars,610
7003194,Firearm,Minecraft,534
7020245,Firearm,M60 machine gun,280
7052384,Mars,Unidentified flying object,557
7055040,Dog,PewDiePie,395
7059893,Hillary Clinton email system,Illuminati,266
7071765,Car,Jet aircraft,296
7100383,Police,Roger Stone,258
7106680,Electronic Entertainment Expo,Game of Thrones,283
7129661,Animal,Ted Cruz,283
7138365,Black Lives Matter,Unidentified flying object,400
7159350,Rifle,iPhone,268
7184093,Nibiru cataclysm,Police officer,349
7196673,ARMA,Fallout: 4,467
7200825,Bernie Sanders,Gavin McInnes,372
7216232,China,Iran,288
7220397,Police officer,Trailer,553
7235699,Bernie Sanders,Military,803
7254385,False flag,Prophecy,357
7270164,Extraterrestrial life,Zika virus,598
7271099,Stolen Valor Act of 2013,United States Army Basic Training,301
7290131,Earth,Federal Emergency Management Agency,426
7313677,Mod,Total War,290
7376423,Epic Rap Battles of History,Film,343
7379400,Gun,Gym,262
7387082,Flood,News,254
7390862,CollegeHumor,Shooting,272
7392578,Dog,Jimmy Fallon,362
7393475,The Bible,World War III,322
7407188,Barack Obama,Unmanned aerial vehicle,924
7423946,Hillary Rodham Clinton,Walmart,686
7448001,Star Wars,XCOM 2,282
7448951,Dog,Milo Yiannopoulos,262
7463183,Cyanide & Happiness,Grand Theft Auto,269
7485739,2015 Libya migrant shipwreck,Earth,311
7501393,Assault rifle,Car,524
7502305,9/11 Truth movement,Donald Trump,328
7566100,Barack Obama,Oregon,1141
7571084,2015 Libya migrant shipwreck,False flag,294
7621526,Batman v Superman: Dawn of Justice,Suicide Squad,333
7625109,Battlefield 4,Minecraft,423
7653096,Facebook,Zika virus,257
7683661,North Korea,Star Wars,447
7685391,Darth Vader,Film,374
7695958,Iran,Oregon,407
7719564,Games,Puppy,296
7725403,Jimmy Fallon,Police,286
7753442,European Union,Ted Cruz,497
7788671,Donald Trump,Steven Crowder,716
7793532,Police,Vine,286
7815046,Hillary Rodham Clinton,Winter storm,286
7831988,Prophecy,The Bible,352
7858148,Muslim,Protest,492
7874260,Army,Firearm,663
7875809,Extraterrestrial life,Video blog,362
7888682,End time,Hillary Rodham Clinton,903
7898325,Donald Trump,Music,564
7908857,Happy Wheels,Practical joke,316
7911579,C-ration,"Meal, Combat, Individual ration",353
7920330,Jesus Christ,Transgender,297
7933024,Car,Weapon,685
7938965,Batman,Star Wars: Episode VIII,378
7944606,Mixed martial arts,Police,255
7948275,Firearm,Kim Jong-un,306
7974106,Basketball,Film,335
7991908,Debbie Wasserman Schultz,Donald Trump,286
8033361,Gun control,Tank,262
8035825,Russia,United States Navy SEALs,274
8044114,Prophecy,Venezuela,316
8049936,Epic Rap Battles of History,Overwatch,257
8070105,Muslim,Transgender,538
8101103,2012 Benghazi attack,Muslim,369
8107944,New World Order,North Atlantic Treaty Organization (NATO),506
8108828,Gun,Taliban,340
8126801,Gameplay,Weapon,301
8143017,Fighter aircraft,Iran,274
8154592,Fukushima Daiichi nuclear disaster,Gun,277
8159646,Military,Vsauce,251
8165924,Aircraft,Firearm,689
8177259,.22 Long Rifle,Shotgun,535
8193913,Donald Trump,Lady Gaga,260
8223754,Minecraft,Oculus Rift,258
8224530,Firearm,Peter Schiff,257
8238050,Proposed referendum on United Kingdom membership of the European Union,Riot,290
8256507,Deadpool,Halo,300
8296037,Mossberg 500,Shooting,281
8297030,Film,President of the United States,390
8300212,Donald Trump,Driving,287
8300672,Gun,Superman,421
8333337,Ghostbusters III,Rape,253
8391710,September 11 attacks,Star Wars,278
8438899,Ted Cruz,United States Navy,533
8451085,Battlefield,Twitch,319
8466066,Burns,Islamic State of Iraq and the Levant,405
8495528,Physical exercise,United States Navy SEALs,375
8558129,Call of Duty: Black Ops III,H1Z1,277
8579078,Black Lives Matter,Super Bowl 50,260
8594728,AK-47,Handgun holster,255
8619539,Gun control,Vice News,276
8634022,Battlefield,LEGO,348
8648195,Firearm,Fukushima Daiichi nuclear disaster,355
8675250,Ghostbusters III,Islamic State of Iraq and the Levant,352
8675747,Firearm,Hand grenade,312
8682257,Orlando,Recep Tayyip Erdoğan,295
8684129,Earthquake,Temple of Bel,304
8698873,Gun,Winchester rifle,326
8705604,Prince,Rape,340
8708465,Music,Police,253
8710017,Gun control,Prophecy,431
8720418,Gun,Kim Jong-un,270
8727867,Barack Obama,Jewish people,321
8735467,Dog,The Young Turks,414
8742500,Earth,Racism,257
8742931,Conan O'Brien,Feminism,252
8762181,Shooting sport,Video blog,325
8763986,Police,Special Forces,298
8767149,Cenk Uygur,Islam,364
8812686,Planets beyond Neptune,Zika virus,530
8827557,Flood,Hillary Rodham Clinton,515
8843205,Grand Theft Auto,Star Wars: Episode VIII,336
8859612,Cyanide & Happiness,Practical joke,283
8867371,PewDiePie,Tom Clancy's Rainbow Six: Siege,356
8870848,National Rifle Association,Shooting,563
8897835,Barack Obama,Food,587
8912639,Alex Jones,Bible prophecy,303
8917230,Draft:Independence Day 2,Extraterrestrial life,252
8947931,Extraterrestrial life,Saudi Arabia,404
8974675,Nigel Farage,Stefan Molyneux,286
9046365,Call of Duty: Black Ops,Practical joke,290
9051769,Donald Trump,Michelle Fields,379
9065850,Firearm,Sit-in,256
9067040,Proposed referendum on United Kingdom membership of the European Union,Ted Cruz,1094
9084119,Bernie Sanders,The Trump Entrepreneur Initiative,385
9121763,United States Air Force,United States Air Force Basic Military Training,286
9171170,.44 Magnum,Rifle,269
9218781,Flashlight,Knife,257
9221054,Atheism,Film,312
9228327,Syrian Army,Vladimir Putin,333
9232382,Hillary Rodham Clinton,Virtual reality,405
9247339,Doom,Mod,441
9282320,Orlando,Practical joke,465
9288321,Grand Theft Auto V,PewDiePie,775
9293059,HTC Vive,Let's Play,262
9436018,Hillary Rodham Clinton,United States Army,303
9450602,Gun,Zika fever,275
9451869,Grand Theft Auto,Mirror's Edge,333
9456019,Sexual intercourse,Tattoo,255
9463347,Pistol,Shooting sport,606
9469261,Firearm,Nuclear weapon,493
9472937,Adele,Shooting,250
9477615,Film,Truck,309
9503027,Prophecy,Temple of Bel,272
9538288,Practical joke,World War II,421
9557975,Glock,Islamic State of Iraq and the Levant,371
9582522,Star Wars: Episode VIII,The Division,363
9627119,Batman,Hillary Rodham Clinton,454
9640365,Hillary Rodham Clinton,Physical exercise,432
9642048,Firearm,Hitman 6,316
9652769,AK-47,Glock,609
9660695,Mobile phone,iPhone,251
9669228,Counter-Strike,Grand Theft Auto V,525
9690769,Gamer,Grand Theft Auto,260
9699025,Illuminati,Planet,490
9704484,Star Wars: Episode VIII,Trailer,435
9714686,Bernie Sanders,X-Men: Apocalypse,277
9752633,False flag,Orlando,588
9786105,Bilderberg Group,Electoral fraud,253
9788832,Car,Xbox,293
9839485,Donald Trump,"United States presidential election, 2016",651
9856146,Ghostbusters III,Proposed referendum on United Kingdom membership of the European Union,323
9868377,South China Sea,Zika virus,276
9874114,EgyptAir,Unmanned aerial vehicle,265
9905652,Alex Jones,Barack Obama,1531
9920614,Earthquake,Second Amendment,302
9922019,Star Wars Episode VII,Star Wars: Episode VIII,728
9966110,Ford,Islamic State of Iraq and the Levant,267
9976844,Unidentified flying object,Walmart,461
9986976,Firearm,Puppy,456
9992766,Islamic State of Iraq and the Levant,Walmart,525
10001182,Syria,Unmanned aerial vehicle,585
10024896,European Union,Feminism,280
10059176,North Atlantic Treaty Organization (NATO),Nuclear weapon,274
10069478,Darth Vader,Gun,284
10093463,Extraterrestrial life,Moon,589
10126107,Grand Theft Auto V,Just Cause,339
10152296,Ben Carson,The Young Turks,367
10159638,Barack Obama,Vine,258
10161865,Smosh,Video game,375
10182459,Hacker,Video game,370
10192204,Colt's Manufacturing Company,Shotgun,351
10239014,"Democratic Party presidential debates, 2016",Proposed referendum on United Kingdom membership of the European Union,329
10239563,Rape,Star Wars,324
10250791,Bernie Sanders,Ghostbusters III,432
10253566,Gun control,Walmart,466
10255606,Game of Thrones,Proposed referendum on United Kingdom membership of the European Union,286
10320864,Toy,Video game,301
10377578,Chernobyl disaster,Gun,270
10396697,Bernie Sanders,Car,757
10444193,Islamic State of Iraq and the Levant,Nuclear weapon,497
10446882,Shooting,Vladimir Putin,506
10459613,Extraterrestrial life,Practical joke,459
10470089,Ben Carson,Islamic State of Iraq and the Levant,432
10476902,Ship,Shooting,288
10496256,Satanism,Ted Cruz,261
10524936,Rifle,Smith & Wesson,451
10549585,Kevin Hart,Practical joke,401
10570636,Prophecy,Rapture,262
10617794,.50 BMG,Police officer,266
10621727,Mortal Kombat,Practical joke,301
10628465,Police,Ted Cruz,765
10629932,Fallout,Mortal Kombat,290
10654898,Marco Rubio,North Korea,486
10686040,Deadpool,Mortal Kombat,279
10701368,Rape,US Marines,258
10706459,Dog,Electronic Entertainment Expo,300
10722289,Gun,Science,260
10723503,Animation,Film,397
10730231,Mixed martial arts,Police officer,271
10740748,Film,Kanye West,406
10765182,Garry's Mod,VanossGaming,545
10788348,Death,Shooting,302
10800173,Let's Play,Star Wars,465
10841847,CollegeHumor,Trailer,302
10847491,Martial law,Police officer,482
10884097,Islamic State of Iraq and the Levant,Rifle,720
10887603,Police officer,Ship,256
10895120,Battlefield,Vice,285
10945597,George Soros,September 11 attacks,453
11004610,Captain America,Games,275
11030697,Grand Theft Auto V,JackSepticEye,428
11113194,Extraterrestrial life,Unmanned aerial vehicle,486
11124054,Gameplay,Garry's Mod,579
11135091,Rothschild family,Zika virus,304
11185641,Military,Weapon,897
11191870,Marco Rubio,Saudi Arabia,370
11234251,NASA,Police,397
11234699,Cannabis,Illuminati,302
11247849,Black Lives Matter,European Union,311
11249661,Hitman 6,Quantum Break,264
11278669,Dog,United States Navy SEALs,413
11282019,Glenn Beck,Protest,294
11283344,Donald Trump,Gay bar,415
11284709,Cannabis,Police officer,583
11298962,Bilderberg Group,Islam,438
11327969,Dog,Xbox One,276
11337660,2012 Benghazi attack,Dog,251
11353974,Islamic State of Iraq and the Levant,Moon,464
11371444,Total War,Trailer,254
11412676,Pope Francis,RT,250
11415606,Adolf Hitler,Vladimir Putin,316
11449178,Donald Trump,United States Marine Corps Recruit Training,295
11467178,Animal,Trailer,376
11469682,Bible prophecy,End time,421
11471681,Recruit training,Shooting,366
11485703,Bill Clinton,Dog,303
11525717,2012 Benghazi attack,Stefan Molyneux,285
11529669,PrankvsPrank,Video game,263
11573040,Kel-Tec,Shooting,308
11593800,Film,Missile,354
11596443,Hillary Rodham Clinton,Steven Crowder,562
11605607,Animal,Sexual intercourse,286
11608488,Islam,White privilege,287
11622180,Hillary Rodham Clinton,Recep Tayyip Erdoğan,434
11624723,Barack Obama,Chris Christie,290
11627574,Grand Theft Auto V,Unboxing,412
11647254,Fighter aircraft,Practical joke,387
11667116,Antonin Scalia,Refugee,448
11698225,Doom,Star Wars: Battlefront,389
11714587,Animation,Video game,498
11749185,Darth Vader,Fallout: 4,305
11825543,Grand Theft Auto V,The Legend of Zelda,264
11830879,Bernie Sanders,NASA,476
11868257,Black Lives Matter,Planet,252
11926045,David Icke,Economic collapse,299
12005782,Barack Obama,Illegal immigration,288
12018121,Orlando,The Trump Entrepreneur Initiative,272
12025779,Just Cause 3,Practical joke,271
12037257,Dark Souls,Gun,298
12044046,Earth,President of the United States,263
12044487,Counter-Strike: Global Offensive,Let's Play,327
12072485,Chemtrail conspiracy theory,Unidentified flying object,464
12075326,Barack Obama,Millennials,343
