group,name
01102,Divorce Court
011030,Lawyer
011030,Adultery
011030,Family law
011030,Lakeland
011031,Court-martial
011031,Military justice
01104,Gull
01104,BlizzCon
01104,Overwatch
01110,CSI: Crime Scene Investigation
01110,CSI: Miami - Season 9
01110,CSI: Miami - Season 4
01110,CSI
01110,Urban Hellraisers
01110,CSI: Miami
0111000,Dragon Age
0111000,Dragon Age: Inquisition
0111000,Wizard
01110010,Barghest
01110010,Eve Online
01110011,Death knight
01110011,Player versus player
01110100,Warcraft
01110100,Leeroy Jenkins
01110101,Gold farming
01110101,World of Warcraft: Mists of Pandaria
0111011,Arthas Menethil
0111011,World of Warcraft: Wrath of the Lich King
0111020,Massively multiplayer online role-playing game
0111020,Star Wars Galaxies
0111021,Dungeon
0111021,World of Warcraft: Warlords of Draenor
0111030,Donation
0111030,Corneal transplantation
0111031,Druid
0111031,World of Warcraft: Cataclysm
0111031,Blizzard Entertainment
0111031,Wowhead
0111031,Healer
0111031,Paladin
0111031,World of Warcraft
011110,Columbo - Season 4
011110,Columbo
011111,Marooning
011111,Ed Stafford: Naked and Marooned
011111,Ed Stafford
011112,Drake & Josh
011112,Episode
011112,MASH
011112,Mike Tyson Mysteries
011112,Guy Code
011112,Flashpoint
011112,Rescue Me
01112,Jane Leeves
01112,The Benny Hill Show
01112,Benny Hill
01113,Married... with Children
01113,Al Bundy
01113,Married... with Children - Season 1
01113,Married... with Children - Season 3
01114,MeatEater
01114,Steven Rinella
01120,Mayberry
01120,The Andy Griffith Show - Season 3
01120,Opie Taylor
01120,The Mayberry Band
01121,The Christmas Story
01121,The Andy Griffith Show
01121,Andy Griffith
01130,National Hispanic Heritage Month
01130,Neil A. Armstrong Flight Research Center
011310,Mexican American
011310,Pride & Prejudice
011311,Hispanic and Latino Americans
011311,White Hispanic and Latino Americans
011400,Hogan's Heroes - Season 2
011400,Hogan's Heroes - Season 1
011401,Who Stole My Copy of Mein Kampf?
011401,Robert Clary
011401,Hogan's Heroes
011410,Colditz Castle
011410,Colditz
011410,Anthony Valentine
011411,The Incredible Dr. Pol
011411,Chicago Fire
011411,Robert Wagner
011411,Television program
011420,Mary Brown's
011420,Wild Wing Restaurants
011420,Undercover Boss
0114210,Marriage Boot Camp: Bridezillas
0114210,Reality television
0114211,Undercover operation
0114211,Popeyes Louisiana Kitchen
011500,Beatrice Prior
011500,Divergent
011501,Insurgent
011501,Tobias Eaton
011510,Film criticism
011510,Run All Night
011510,Paranormal Activity 4
011510,Paranormal Activity: The Marked Ones
011511,Jeremy Jahns
011511,Sausage Party
011511,When the Bough Breaks
01152,Theo James
01152,Shailene Woodley
01152,A Place Called Home
01160,Dead Rising
01160,Dead Rising: Watchtower
01160,Dead Rising 3
01161,Dark Souls II
01161,Dark Souls
01161,Dark Souls III
011620,Mario
011620,Super Mario World
011620,Super Mario 64
011620,Let Me Love You
011620,Someday at Christmas
011620,Super Mario Bros.
011621,Mario Kart
011621,Mario Kart 8
011622,Mario Party
011622,Mario Party 10
011623,New Super Luigi U
011623,Super Mario 3D World
011624,Mario Warfare
011624,Super Mario War
01163,Steve-O
01163,Jason Acuña
011640,Mario Maker
011640,NES Zapper
011641,Super Mario Bros. 3
011641,Mario Series
011650,Shovel Knight
011650,Space Quest
011650,Sonic and the Black Knight
011650,Wheel of Fortune video games
011650,California Games
011650,Deadly Premonition
011650,Game Grumps
011650,Mario Sports Mix
011650,Demon's Souls
011651,Wario World
011651,Wario
011700,The Bill - Season 2
011700,The Bill
011701,The Bill - Season 24
011701,The Bill - Season 5
01171,The Bill - Season 7
01171,The Bill - Season 6
01172,The Bill - Season 8
01172,The Bill - Season 1
01180,John Lee Hooker
01180,Boogie Chillen'
01180,Boogie Chillen
01181,Rawhide
01181,The Blues Brothers
01190,Monk
01190,Dragon
01191,Rakshasa
01191,Dungeons & Dragons
0120,Armoured vehicle-launched bridge
0120,M60 Patton
0120,M60 AVLB
012100,Drug lord
012100,Enigma Norteño
012100,Gente Nueva
012100,Joaquín Guzmán Loera
0121000,Embraer EMB 314 Super Tucano
0121000,Embraer EMB 312 Tucano
0121001,Afghan Air Force
0121001,MD Helicopters MD 500
012101,Los Zetas
012101,Drug cartel
012101,Naval Infantry Force
0121010,Bell UH-1 Iroquois
0121010,Bell UH-1N Twin Huey
0121010,Bell UH-1Y Venom
0121010,Bell AH-1Z Viper
0121010,Utility helicopter
0121011,USS Iwo Jima (LPH-2)
0121011,HMLA-269
0121011,Boeing AH-6
0121011,Bell AH-1 SuperCobra
0121011,Bell AH-1 Cobra
01210120,Eurocopter Tiger
01210120,Apache Arrowhead
01210120,Denel Rooivalk
01210120,CAIC Z-10
01210120,Attack helicopter
01210121,CAIC WZ-10
01210121,Harbin Z-19
012102,Mexican Navy
012102,Secretariat of the Navy
012102,Fuerzas Especiales
0121020,Boeing-Sikorsky RAH-66 Comanche
0121020,Harbin Z-9
0121020,Piasecki X-49
0121020,Rotorfest
0121020,Helicopter support team
0121020,Fort Rucker
0121020,Helicopter
0121020,Royal Saudi Navy
0121020,Bell OH-58 Kiowa
0121020,Sikorsky MH-53
0121020,Advanced Helicopter Training
0121020,Combat Countdown
0121020,Mil Mi-8
0121020,Eurocopter EC225 Super Puma
0121020,Gmina Gruta
0121020,HMLA-469
0121021,Cargo hook
0121021,Kaman K-MAX
0121021,Kaman Aircraft
0121022,Helicopter rotor
0121022,Mosquito Aviation XE
0121023,Radio-controlled helicopter
0121023,Kansas Jayhawks
0121024,Sukhoi Su-25
0121024,Iraqi Air Force
0121024,Mil Mi-17
0121025,Swiss Air Force
0121025,Axalp
0121030,Mexican Army
0121030,Hell March
01210300,Microsoft Flight Simulator
01210300,Flight simulator
01210301,Garmin G1000
01210301,Microsoft Flight Simulator X
0121031,Mexican Armed Forces
0121031,Mexico
01210310,Lockheed Martin Prepar3D
01210310,Precision Manuals Development Group
01210311,Virtual Air Traffic Simulation Network
01210311,Southampton Airport
0121040,GTR-18 Smokey Sam
0121040,Chocolate Mountains
0121040,3rd Marine Regiment
0121040,Sikorsky CH-53 Sea Stallion
0121041,Sikorsky Aircraft
0121041,Sikorsky S-97 Raider
0121041,Sikorsky CH-53K King Stallion
0121041,Sikorsky S-92
0121042,VMM-262
0121042,Sikorsky SH-60 Seahawk
0121042,Boeing Vertol CH-46 Sea Knight
0121050,Beast of Burden
0121050,Buckcherry
0121050,Crazy Bitch
0121051,(I Can't Get No) Satisfaction
0121051,I Can't Get No (Satisfaction)
0121052,Caterina Caselli
0121052,Paint It Black
0121053,Playing for Change
0121053,Gimme Shelter
0121054,Shattered
0121054,Under My Thumb
0121054,Sympathy for the Devil
0121054,Jumpin' Jack Flash
0121054,The Rolling Stones
0121054,You Can't Always Get What You Want
0121100,Craft
0121100,Copyright law of the United States
0121100,Copyright
0121100,HGTV
0121101,Fair use
0121101,Copyright Act of 1976
0121101,U.S. Naval Base Pearl Harbor
0121101,Islamic Republic of Iran Navy
0121101,Naval ship
0121101,Warship
0121101,Naval warfare
01211020,USS Antietam (CG-54)
01211020,Ticonderoga-class cruiser
01211021,USS Benfold (DDG-65)
01211021,Cruiser
012111,Kenya
012111,Uhuru Kenyatta
012111,Jomo Kenyatta
012111,Kenya Navy
0121110,Sukhoi Su-24
0121110,USS Donald Cook (DDG-75)
0121110,Donald Cook
01211110,Naval Station Rota Spain
01211110,USS Carney (DDG-64)
01211111,Rota
01211111,USS Porter (DDG-78)
012112,Navy Music Program
012112,Navy
012112,Bangladesh Navy
012112,Finnish Navy
012112,HAL Tejas
012112,Tuo River-class corvette
012112,Autonomous spaceport drone ship
0121120,USS Arleigh Burke (DDG-51)
0121120,Land-attack missile
0121120,Algeria
01211210,1:700 scale
01211210,Arleigh Burke-class destroyer
01211210,Chaff
01211211,Arleigh Burke
01211211,Ship class
01211211,Hobart class destroyer
01211220,Tomahawk
01211220,Tomahawk Technique
01211221,USS Stout (DDG-55)
01211221,Operation Odyssey Dawn
012113,Spanish ship Castilla
012113,Bell 212
01211300,Charlie Rose
01211300,Norah O'Donnell
01211300,Michael Morell
01211301,McRaven House
01211301,William H. McRaven
01211310,Michael P. Murphy
01211310,Michael P. Anderson
01211310,Johnny McElhone
01211311,Bath Iron Works
01211311,Popham Colony
01211311,USS Michael Murphy (DDG-112)
0121132,Charlie Day
0121132,Weber High School
0121132,Commencement speech
012114,Hellenic Navy
012114,Underwater Demolition Command
0121140,Japan Maritime Self-Defense Force
0121140,Gunkan kōshinkyoku
0121140,Imperial Japanese Navy
0121141,JDS Atago
0121141,Atago-class destroyer
0121142,Aegis Combat System
0121142,Type 052C destroyer
0121143,Guided missile destroyer
0121143,USS Pinckney (DDG-91)
0121143,USS Lassen (DDG-82)
0121143,USS Cole (DDG-67)
0121143,USS Nitze (DDG-94)
0121143,USS Mustin
0121143,USS Forrest Sherman
0121143,USS Preble (DDG-88)
0121143,USS Barry (DDG-52)
0121143,USS Gridley (DDG-101)
0121143,USS Paul Hamilton (DDG-60)
01211440,USS Cassin Young (DD-793)
01211440,The Kinks
01211440,USS Wayne E. Meyer
01211440,USS McCampbell (DDG-85)
01211440,HMS Dragon
01211440,Destroyer
01211440,USS Halsey (DDG-97)
01211440,"Konarak, Iran"
01211441,Gearing-class destroyer
01211441,USS Gearing (DD-710)
0121145,Spruance-class destroyer
0121145,USS Spruance (DDG-111)
0121146,Zumwalt-class destroyer
0121146,USS Zumwalt (DDG-1000)
0121146,Zumwalt class destroyer
012120,Arcade game
012120,Claw crane
0121200,HMAS Sydney (FFG 03)
0121200,Adelaide-class frigate
0121201,International Fleet Review
0121201,Fleet review
0121201,International Fleet Review 2013
012121,USS Germantown (LSD-42)
012121,Japan Coast Guard
012121,Exercise Valiant Shield
012121,Patrol Boat
012121,Patrol boat
012121,Dry dock
012121,Germantown
01212100,Radioman
01212100,Naval Training Center San Diego
01212101,Rear admiral
01212101,John Kirby
01212102,United States Navy officer rank insignia
01212102,Navy Pier
01212102,"Recruit Training Command, Great Lakes, Illinois"
01212102,Naval Training Center Orlando
01212102,Tang Soo Do
01212102,Yeoman
01212102,Command hierarchy
0121211,Reserve fleet
0121211,United States Navy reserve fleets
0121211,National Defense Reserve Fleet
0121212,Revelation Theory
0121212,Hell Yeah
0121213,Corry Station Naval Technical Training Center
0121213,Sailor's Creed
0121214,Splashdown
0121214,Space capsule
0121214,Orion
0121215,USS Truxtun
0121215,USS Truxtun (DDG-103)
0121215,Strait
01212160,Cesar Romero
01212160,Uniforms of the United States Navy
01212160,Chief petty officer
01212160,Petty officer
012121610,Navy Medical Service Corps
012121610,Hospital Corpsman
012121611,Pre-health sciences
012121611,Medicine
01212162,Naval mobile construction battalion
01212162,Seabee
012121630,Battleship Memorial Park
012121630,USS Alabama (BB-60)
012121631,USS Alabama (SSBN-731)
012121631,Crimson Tide
01212164,Photojournalism
01212164,Sea Cadets
01212164,Fort Indiantown Gap
01212164,Master-at-arms
01212164,United States Naval Sea Cadet Corps
01212164,Youth program
01212164,Navy League of the United States
0121217,United States Naval Ship
0121217,USNS Comfort
01212180,Motor Torpedo Boat PT-109
01212180,PT boat
01212181,The Bowery Boys
01212181,Huntz Hall
01212182,Mineman
01212182,USS Guardian (MCM-5)
01212183,SSM-N-8 Regulus
01212183,USS Saratoga
01212184,USS Stephen W. Groves
01212184,Stephen W. Groves
01212185,USS John P. Murtha
01212185,Aviation structural mechanic
01212185,USS Port Royal (CG-73)
01212185,Health Professions Scholarship Program
01212185,Pump it
01212185,USS Antietam
01212185,Naval Base Coronado
01212185,Dependant
01212185,USS Gabrielle Giffords
01212185,USS Bulkeley (DDG-84)
01212185,IRS tax forms
01212185,USS Farragut (DDG-99)
01212185,McDonnell Douglas T-45 Goshawk
01212185,Souda Bay
01212185,Persian Gulf
01212185,Women in the United States Navy
01212185,Naval Postgraduate School
01212185,Special Operations Force
01212185,United States Navy
01212185,Sean Stackley
01212185,Side-scan sonar
01212185,Manning the rail
01212185,Supply Corps
01212185,Sino-American Cooperative Organization
01212185,Aircraft emergency frequency
01212185,Mass communication specialist
01212185,USS Lexington (CV-2)
01212185,Operations room
01212185,USS Gravely (DDG-107)
01212185,USS Kauffman (FFG-59)
01212185,USS San Diego (LPD-22)
01212185,The Fleet That Came to Stay
01212185,Christopher Cassidy
01212185,USS Somerset (LPD-25)
01212185,In Harm's Way
01212185,Naval Amphibious Base Coronado
01212185,Winslow
01212185,Lieutenant commander
01212185,USS Mesa Verde (LPD-19)
01212185,USS Dubuque (LPD-8)
01212185,Cryptologic technician
01212185,Ombudsman
01212185,USS Vicksburg (CG-69)
01212185,United States naval aviator
01212185,United States Navy Chaplain Corps
01212185,USS Nassau (LHA-4)
01212185,USS Indianapolis (CA-35)
01212185,United States Navy Veterans Association
01212185,Naval Support Activity Bahrain
01212185,Information systems technician
01212185,"Petty officer, second class"
01212185,Henry Adams
01212185,USS Tarawa (LHA-1)
01212185,"Morale, Welfare and Recreation"
01212186,United States Navy Memorial
01212186,Pennsylvania Avenue
01212187,Navy diver
01212187,United States Navy diver
01212190,Surface warfare
01212190,Surface Warfare insignia
01212191,Dieter Dengler
01212191,Intelligence specialist
01212191,United States Navy Reserve
01212191,Lieutenant Commander
01212192,James Stockdale
01212192,Vice admiral
012122,Piracy in Somalia
012122,Cyclone-class patrol ship
012122,Piracy
0121220,Harley Morenstein
0121220,Epic Meal Time
01212200,Camp Lemonnier
01212200,Djibouti
01212200,Task force
01212201,United States Seventh Fleet
01212201,Task Force 77
01212201,USS Chancellorsville (CG-62)
01212201,USS Blue Ridge (LCC-19)
0121221,Hot Cheetos & Takis
0121221,Carrier Air Wing One
0121221,Cheetos
0121221,VFA-211
01212300,Direct commission officer
01212300,"Judge Advocate General's Corps, United States Army"
01212301,Judge Advocate General's Corps
01212301,Naval Justice School
0121231,"Judge Advocate General's Corps, U.S. Navy"
0121231,Judge Advocate General of the Navy
012124,Laser guns
012124,Laser Weapon System
012124,USS Ponce
012124,USS Dewey (DDG-105)
01212500,"Under Secretary of Defense for Acquisition, Technology and Logistics"
01212500,Chief of Naval Personnel
01212500,NYSE:CNO
01212500,Chief of Naval Operations
01212500,Naval Support Activity Naples
01212501,Jon Richardson
01212501,John Richardson
01212502,All Hands
01212502,Master chief petty officer of the Navy
01212510,USS Thach (FFG-43)
01212510,USS Denver (LPD-9)
01212510,Ship commissioning
01212511,Naval Base San Diego
01212511,USS Green Bay (LPD-20)
0121252,Vice Chief of Naval Operations
0121252,USS Makin Island (LHD-8)
0121252,United States Fifth Fleet
0121252,King of Bahrain
0121253,International Seapower Symposium
0121253,Silver Star
0121253,United States Secretary of the Navy
01212540,Admiral
01212540,Maritime security
01212540,Gary Roughead
01212541,Jonathan Greenert
01212541,Washington Nationals
0121260,Brown-water navy
0121260,Mobile Riverine Force
0121261,United States Navy Riverine Squadron
0121261,Navy Expeditionary Combat Command
012127,Army of the Guardians of the Islamic Revolution
012127,Strait of Hormuz
012127,Navy of the Army of the Guardians of the Islamic Revolution
012128,Naval Air Station Patuxent River
012128,Patuxent River
012128,United States Naval Test Pilot School
0121290,Nuclear navy
0121290,Nuclear power
0121291,Fukushima Daiichi nuclear disaster
0121291,Radiation effects from the Fukushima Daiichi nuclear disaster
012130,Elizabeth II
012130,HMS Prince of Wales
012130,HMS Queen Elizabeth
01213000,Aviation combat element
01213000,Ground combat element
01213001,Expeditionary warfare
01213001,Marine expeditionary unit
01213001,Raid
01213001,Marine Expeditionary Force
0121301,USS New York (LPD-21)
0121301,24th Marine Expeditionary Unit
0121301,Infestation: Survivor Stories
01213020,Marine Corps Installations West
01213020,I Marine Expeditionary Force
01213021,San Onofre State Beach
01213021,Marine Corps Base Camp Pendleton
01213030,Fleet Week
01213030,Air-cushioned landing craft
01213030,26th Marine Expeditionary Unit
01213031,Maritime Special Purpose Force
01213031,15th Marine Expeditionary Unit
0121304,Shoulder-fired missile
0121304,AT4
0121304,Shoulder-launched Multipurpose Assault Weapon
0121310,Amphibious vehicle
0121310,Battle of Trafalgar
0121310,Expeditionary Fighting Vehicle
0121310,M3 Amphibious Rig
0121310,"Horatio Nelson, 1st Viscount Nelson"
0121310,DARPA Captive Air Amphibious Transporter
0121311,Fleet Air Arm
0121311,Royal Navy surface fleet
0121311,Marine Personnel Carrier
0121311,Amphibious Combat Vehicle
0121311,Royal Navy
0121311,Dreadnought
0121311,BAE Systems
0121312,Patria
0121312,Patria AMV
0121313,Coyote Reconnaissance Vehicle
0121313,Armoured personnel carrier
0121313,Rooikat
012132,Queen Elizabeth class aircraft carrier
012132,Falkland Islands
012132,United Kingdom
01213200,HMAS Adelaide (L01)
01213200,Canberra-class landing helicopter dock
01213200,Amphibious assault ship
01213201,French Navy
01213201,Landing helicopter dock
01213201,Mistral class amphibious assault ship
01213210,French ship Mistral
01213210,Amphibious warfare ship
01213211,French ship Tonnerre
01213211,Helicopter carrier
01213211,Mistral-class amphibious assault ship
01213300,4th Assault Amphibian Battalion
01213300,HMAS Tobruk (L 50)
01213300,1st Battalion 8th Marines
01213300,Assault Amphibious Vehicle
01213300,USS Rushmore (LSD-47)
01213301,Terrex
01213301,Science Applications International Corporation
012133100,High-speed craft
012133100,Hovercraft
012133101,USS Essex
012133101,Landing Craft Air Cushion
012133101,USS Essex (LHD-2)
012133110,Landing Craft Utility
012133110,Landing craft
012133111,USS Bonhomme Richard (LHD-6)
012133111,Well deck
012133200,4th Marine Division
012133200,3rd Assault Amphibian Battalion
012133201,America-class amphibious assault ship
012133201,Amphibious warfare
01213321,USS Peleliu (LHA-5)
01213321,USNS Joshua Humphreys (T-AO-188)
0121340,USS Wasp
0121340,Amphibious ready group
0121340,Naval Station Norfolk
0121340,USS San Antonio (LPD-17)
01213410,USS Ponce (LPD-15)
01213410,Amphibious transport dock
01213410,Type 071 amphibious transport dock
01213411,San Antonio-class amphibious transport dock
01213411,USS Anchorage (LPD-23)
0121350,Cargo ship
0121350,Container ship
01213510,USS America
01213510,USS Richard E. Byrd
01213510,Mobile Bay
012135110,Landing Helicopter Assault
012135110,USS America (LHA-6)
012135111,Ingalls Shipbuilding
012135111,USS Arlington (LPD-24)
0121352,United States Coast Guard Charter Boat Captain's license
0121352,Sea captain
01213530,HMS Albion
01213530,USS Triton
01213530,USS Bainbridge (DDG-96)
01213530,Aérospatiale Super Frelon
01213530,Ship
01213531,United States Merchant Marine
01213531,Merchant navy
0121360,Camp Hansen
0121360,Operations
0121360,31st Marine Expeditionary Unit
0121360,1st Battalion 4th Marines
01213610,Bell Boeing V-22 Osprey
01213610,Camp Bastion
01213610,French ship Dixmude
01213610,Spanish ship Juan Carlos I
01213610,VMM-261
01213611,Casualty evacuation
01213611,Casualty
0121362,Shockwave
0121362,Pimp My Ride
0121362,Marine Corps Air Station Yuma
01213630,Harrier Jump Jet
01213630,British Aerospace Sea Harrier
01213630,HMS Ark Royal
01213631,McDonnell Douglas AV-8B Harrier II
01213631,USS Iwo Jima (LHD-7)
01213631,STOVL
01213640,HMH-461
01213640,Tiltrotor
01213640,USS Bataan (LHD-5)
01213641,22nd Marine Expeditionary Unit
01213641,VMM-263
0121370,Abseiling
0121370,13th Marine Expeditionary Unit
0121370,Fast-roping
01213710,Sikorsky CH-53E Super Stallion
01213710,1:48 scale
01213710,Scale model
01213711,USS Kearsarge (LHD-3)
01213711,Bold Alligator
01213720,USS Boxer (LHD-4)
01213720,USS Harpers Ferry (LSD-49)
01213721,Flight deck
01213721,Wasp-class amphibious assault ship
012140,Baltic Fleet
012140,Northern Fleet
012141,USNS Leroy Grumman (T-AO-195)
012141,Military Sealift Command
012141,Replenishment Oiler
012142,Naval fleet
012142,U-boat
012150,Senkaku Islands
012150,China–United States relations
012150,China
012151,Sea
012151,Dead Sea
012151,Territorial disputes in the South China Sea
012152,Spratly Islands
012152,South China Sea Islands
012152,South China Sea
012160,Subic Bay
012160,Subic
012161,Clark Air Base
012161,U.S. Naval Base Subic Bay
012170,INS Trikand (F51)
012170,INS Vikramaditya
012170,Operation Trident
012170,Mikoyan MiG-29K
012170,Mormugao
012170,INS Kochi
012170,Indian Navy
012171,Indo-Pak Wars
012171,1971
012171,Indo-Pak War of 1971
012172,Pakistan Navy
012172,Fast attack craft
012172,Babur
0121730,Maritime patrol
0121730,Lockheed P-3 Orion
0121731,Maritime patrol aircraft
0121731,United States Navy in World War II
0121740,Navy Day
0121740,USS Franklin D. Roosevelt
0121741,Visakhapatnam
0121741,Studio N
0122000,National Air and Space Museum
0122000,Air & Space/Smithsonian
0122001,Santa Barbara
0122001,Museum
012201,Naval Air Station Pensacola
012201,Dormitory
012201,Naval air station
012202,National Naval Aviation Museum
012202,Pensacola
012210,Air navigation
012210,Coronado
012210,Naval Air Station North Island
012211,Lockheed Ventura
012211,Naval Aircraft Factory N3N
012211,Naval aviation
012211,Eugene Burton Ely
012211,The Wings of Eagles
012211,Rod Serling
012211,History of the United States Navy
012212,People's Liberation Army
012212,Modernization theory
012213,Soviet Naval Aviation
012213,Incident at Map-Grid 36-80
012220,Cessna 172
012220,Cessna 150
012220,Cessna
012220,First solo flight
012220,Cessna 152
012221,BRP Ramon Alcaraz (PF-16
012221,AFP Modernization Act
012221,Philippine Navy
012230,St. Louis
012230,Computer Science
012230,Engineering
0122310,Aviation
0122310,Operations Specialist
0122311,Semi Precious Weapons
0122311,Aviation High
0122400,The Fighting Lady
0122400,Robert Taylor
0122401,Patriots Point
0122401,USS Yorktown
012241,Vought F7U Cutlass
